Holding_Ticker,Shares_Change,Change_Pct,Price,Price_Change_Pct,VWAP,Volume,Volume_Change_Pct,Shares_T0,Shares_T1
EIX,354308.55000000447,0.7999%,69.49,2.28%,69.496,4123881.903933,22.78%,44646663.49,44292354.94
GERN,351516.0,0.8223%,1.54,1.99%,1.5268,11190015.512343,-6.76%,43099639.0,42748123.0
KHC,345261.23999999464,0.3618%,22.66,1.07%,22.6293,13011781.142646,-2.35%,95773636.66,95428375.42
META,338810.78999999166,0.2783%,611.91,-8.55%,609.3627,52765155.274352,177.02%,122072287.91,121733477.12
ABBV,336368.42999999225,0.3636%,211.32,3.64%,212.2401,10319242.383274,-0.83%,92848477.32,92512108.89
PYPL,311212.200000003,0.4457%,50.14,-1.57%,50.0796,12519870.43373,-32.44%,70131261.14,69820048.94
V,310983.9800000042,0.3321%,329.84,-1.50%,330.226,11241076.077956,-32.52%,93943830.84,93632846.86
SCHW,304281.4800000042,0.3640%,91.64,0.53%,91.7391,12560278.920071,50.83%,83896195.64,83591914.16
MRK,304063.2300000191,0.2132%,109.18,-1.60%,110.0376,17131129.536738,75.36%,142919607.18,142615543.95
EVGO,300691.0,2.7428%,2.1,0.00%,2.1124,4250858.092817,24.63%,11263497.0,10962806.0
CTMX,300420.0,4.7775%,4.22,4.20%,4.1404,4340767.918406,98.32%,6588632.0,6288212.0
CPRT,299441.7800000012,0.4408%,33.11,-0.66%,33.1473,7494206.485534,38.98%,68225101.11,67925659.33
MS,298078.51000000536,0.2735%,190.59,1.88%,189.6707,5664867.074864,10.91%,109287529.59,108989451.08
SBUX,297553.8299999982,0.3775%,105.33,-0.16%,105.1884,9485881.241878,-62.73%,79116915.33,78819361.5
ALS CN,297288.0,19.2044%,0.0,0.00%,0.0,0.0,0.00%,1845308.0,1548020.0
MRVL,289618.0,0.5289%,165.15,5.48%,162.9052,20326928.530128,-1.56%,55043306.0,54753688.0
USB,289574.48999999464,0.2751%,56.66,0.87%,56.6541,10918700.525891,13.55%,105562609.66,105273035.17
WMB,283025.99000000954,0.3513%,76.31,4.08%,75.9994,8829054.738235,57.91%,80856414.31,80573388.32
MNST,281617.17999999225,0.4027%,77.07,0.23%,77.1118,4559411.325932,49.68%,70218971.07,69937353.89
