ticker,Total_Shares,ETF_Count,Holding_ETFs
PFIS,351184.0,5,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, SMLV美国小型股低波动率指数, IWC微型股"
ESOA,350721.0,3,"IWC微盘股, IWM罗素小盘股2000指数, IWC微型股"
GENC,350646.0,4,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股"
RSKD,349997.0,1,SCZ小型股
VOYA,349667.0,2,"KBE银行, MDYV中型市值价值"
LE,349189.0,5,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股, EBIZ电子商务"
FUFU,348672.0,1,区块链BKCH
ERIE,348125.0,9,"QUAL美国质量因子, EGLE标普 500®美国营收领先, truf金融, ISCG小型股成长, EUSA美国等权重, USMV美国最小波动率, XYLG标普 500备兑看涨期权及成长型, 金融XLF, IAK美国保险"
BWA,348040.0,6,"SQLT美国小型股质量因子, FLOW美国现金流之王100, KRMA有意识企业, HAIL智能出行, ETEC突破性环境解决方案, MDYV中型市值价值"
ONTO,347593.0,9,"SQLT美国小型股质量因子, MDYG中型成长股, ARTY人工智能与科技, IYW美国科技, ISCG小型股成长, ibot机器人, IWP中型成长股, IGM拓展科技行业, MDYV中型市值价值"
CPSS,347513.0,4,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股"
LODE,345488.0,2,"IWC微盘股, IWC微型股"
OSK,344849.0,7,"IDEF国防工业主动型, MDYG中型成长股, KRMA有意识企业, HAIL智能出行, IFRA 美国基础设施, MDYV中型市值价值, IYJ美国工业"
SNX,343045.0,6,"SQLT美国小型股质量因子, FLOW美国现金流之王100, IYW美国科技, IGM拓展科技行业, MDYV中型市值价值, THRO美国主题轮动"
SBC,342925.0,4,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股"
ATLO,342698.0,4,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股"
SLND,342659.0,4,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股"
EVCM,342324.0,1,IWM罗素小盘股2000指数
HEM,342059.0,1,SCZ小型股
UTDI,341714.0,1,SCZ小型股
LXS,340749.0,1,SCZ小型股
TREE,340307.0,7,"IWC微盘股, IWN罗素 2000 价值, TECB美国科技突破多行业, ISCG小型股成长, IWM罗素小盘股2000指数, IWC微型股, EBIZ电子商务"
GIC,340210.0,3,"SQLT美国小型股质量因子, ISCG小型股成长, IWM罗素小盘股2000指数"
USFD,339904.0,1,MDYV中型市值价值
DMP,339680.0,2,"SCZ小型股, SCZ小型股"
ASND,339595.0,1,IBB纳斯达克生物技术
CLLS,339520.0,1,IBB纳斯达克生物技术
INO,339142.0,2,"IWC微盘股, IWC微型股"
RM,339125.0,4,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股"
XRAY,338877.0,2,"SMLV美国小型股低波动率指数, MDYV中型市值价值"
CMBTO,337121.0,1,SCZ小型股
JAKK,337104.0,4,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股"
DCC,336689.0,1,SCZ小型股
MBOT,336552.0,2,"IWC微盘股, IWC微型股"
SGMT,335456.0,3,"IWC微盘股, IBB纳斯达克生物技术, IWC微型股"
MRBK,335364.0,4,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股"
GHRS,333815.0,1,IBB纳斯达克生物技术
BOL,332815.0,1,PICK全球金属与采矿
OXB,332541.0,1,SCZ小型股
BEPC,332369.0,2,"smog低碳能源, ICLN全球清洁能源"
GBFH,332152.0,4,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股"
AED,331815.0,4,"ARTY人工智能与科技, ARTY人工智能与科技, ARTY人工智能与科技, SCZ小型股"
NGEX,331490.0,2,"PICK全球金属与采矿, ICOP铜及金属矿业"
KNOS,331305.0,1,SCZ小型股
UGI,331005.0,1,MDYV中型市值价值
KGH,330068.0,2,"PICK全球金属与采矿, ICOP铜及金属矿业"
VRTS,330047.0,5,"XJR标普小型股, IWN罗素 2000 价值, SPSM小型股, IWM罗素小盘股2000指数, IJS小型股600价值"
ANRO,329940.0,3,"IWC微盘股, IBB纳斯达克生物技术, IWC微型股"
SMC,329651.0,5,"IWC微盘股, IWN罗素 2000 价值, IFRA 美国基础设施, IWM罗素小盘股2000指数, IWC微型股"
GWRS,329480.0,3,"IWC微盘股, IWM罗素小盘股2000指数, IWC微型股"
NIQ,329338.0,3,"IYW美国科技, ISCG小型股成长, IWP中型成长股"
SAMG,328445.0,4,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股"
ARIS,328174.0,2,"AUAU黄金矿业, SCZ小型股"
ANE,327367.0,1,ICLN全球清洁能源
EVMN,326727.0,4,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股"
DUOL,326520.0,6,"SQLT美国小型股质量因子, MDYG中型成长股, FLOW美国现金流之王100, ISCG小型股成长, IWP中型成长股, MDYV中型市值价值"
CTT,325854.0,1,SCZ小型股
NVT,325235.0,5,"MDYG中型成长股, POWR美国电力基础设施, DECO数字资产生态系统, TEKX变革性科技加速器, IYJ美国工业"
TRAK,325163.0,3,"IWC微盘股, IWM罗素小盘股2000指数, IWC微型股"
BBOT,324176.0,1,IBB纳斯达克生物技术
LMB,324029.0,6,"IWC微盘股, SQLT美国小型股质量因子, ISCG小型股成长, IFRA 美国基础设施, IWM罗素小盘股2000指数, IWC微型股"
NEON,323135.0,3,"IWC微盘股, IWM罗素小盘股2000指数, IWC微型股"
ATEX,322819.0,3,"IWC微盘股, IWM罗素小盘股2000指数, IWC微型股"
CTNM,322682.0,3,"IWC微盘股, IBB纳斯达克生物技术, IWC微型股"
